Rk,IP,H,R,ER,BB,SO
1,4,6,4,0,2,3
2,6.33,8,2,2,1,10
3,6,9,4,4,2,7
4,4.33,6,2,2,3,6
5,8,9,2,2,1,6
6,5,7,5,4,4,5
7,6,3,1,0,1,9
8,8,4,1,1,1,8
9,5,7,4,4,1,5
10,6,8,3,3,1,6
11,7,3,1,1,0,10
12,7,3,0,0,1,10
13,8,3,1,1,0,5
14,7,8,2,2,1,5
15,7,6,4,4,4,9
16,8,2,1,0,2,7
17,6,9,5,5,1,3
18,5,6,5,4,3,6
19,7,10,6,6,3,3
20,6.33,10,4,4,0,5
21,6,4,1,1,2,7
22,8,5,0,0,0,6
23,4,6,5,5,2,2
24,9,2,0,0,1,10
25,8,7,4,3,0,5
26,7,4,1,1,0,9
27,7,7,3,3,1,12
28,9,1,0,0,0,13
29,6,5,1,1,1,7
30,6,10,3,3,0,0
31,7,3,0,0,2,9
32,6,7,2,2,2,6
33,7.33,6,4,4,0,5
