Year,Age,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
1979,20,OAK,89,351,49,96,13,3,1,26,33,11,34,39,0.274,0.338,0.336,0.675
1980,21,OAK,158,591,111,179,22,4,9,53,100,26,117,54,0.303,0.42,0.399,0.82
1981,22,OAK,108,423,89,135,18,7,6,35,56,22,64,68,0.319,0.408,0.437,0.845
1982,23,OAK,149,536,119,143,24,4,10,51,130,42,116,94,0.267,0.398,0.382,0.78
1983,24,OAK,145,513,105,150,25,7,9,48,108,19,103,80,0.292,0.414,0.421,0.835
1984,25,OAK,142,502,113,147,27,4,16,58,66,18,86,81,0.293,0.399,0.458,0.857
1985,26,NYY,143,547,146,172,28,5,24,72,80,10,99,65,0.314,0.419,0.516,0.934
1986,27,NYY,153,608,130,160,31,5,28,74,87,18,89,81,0.263,0.358,0.469,0.827
1987,28,NYY,95,358,78,104,17,3,17,37,41,8,80,52,0.291,0.423,0.497,0.92
1988,29,NYY,140,554,118,169,30,2,6,50,93,13,82,54,0.305,0.394,0.399,0.793
1989,30,TOT,150,541,113,148,26,3,12,57,77,14,126,68,0.274,0.411,0.399,0.81
1990,31,OAK,136,489,119,159,33,3,28,61,65,10,97,60,0.325,0.439,0.577,1.016
1991,32,OAK,134,470,105,126,17,1,18,57,58,18,98,73,0.268,0.4,0.423,0.823
1992,33,OAK,117,396,77,112,18,3,15,46,48,11,95,56,0.283,0.426,0.457,0.883
1993,34,TOT,134,481,114,139,22,2,21,59,53,8,120,65,0.289,0.432,0.474,0.906
1994,35,OAK,87,296,66,77,13,0,6,20,22,7,72,45,0.26,0.411,0.365,0.776
1995,36,OAK,112,407,67,122,31,1,9,54,32,10,72,66,0.3,0.407,0.447,0.855
1996,37,SDP,148,465,110,112,17,2,9,29,37,15,125,90,0.241,0.41,0.344,0.754
1997,38,TOT,120,403,84,100,14,0,8,34,45,8,97,85,0.248,0.4,0.342,0.742
1998,39,OAK,152,542,101,128,16,1,14,57,66,13,118,114,0.236,0.376,0.347,0.723
1999,40,NYM,121,438,89,138,30,0,12,42,37,14,82,82,0.315,0.423,0.466,0.889
2000,41,TOT,123,420,75,98,14,2,4,32,36,11,88,75,0.233,0.368,0.305,0.673
2001,42,SDP,123,379,70,86,17,3,8,42,25,7,81,84,0.227,0.366,0.351,0.717
2002,43,BOS,72,179,40,40,6,1,5,16,8,2,38,47,0.223,0.369,0.352,0.721
2003,44,LAD,30,72,7,15,1,0,2,5,3,0,11,16,0.208,0.321,0.306,0.627
