Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Tigers,1961,5630,6202,1557,1051,325,26,155,757,731,443,51,1144,44,61,24,137,106,41,0.277
Rockies,2120,5612,6164,1551,1017,307,41,186,755,721,397,39,1281,48,48,59,121,85,48,0.276
Dodgers,2163,5560,6231,1476,1002,302,38,134,718,686,519,30,1246,61,43,47,120,138,50,0.265
Royals,1788,5545,6058,1456,1046,286,29,95,651,604,380,22,985,53,47,33,131,153,36,0.263
Pirates,2220,5536,6224,1436,975,275,30,156,682,659,520,46,1244,78,35,54,127,104,47,0.259
Angels,1929,5652,6284,1464,974,304,31,155,773,729,492,42,1266,60,54,26,112,81,39,0.259
Blue Jays,2060,5549,6167,1435,952,282,24,177,723,690,502,27,1151,41,40,35,128,78,21,0.259
Rangers,1801,5460,6026,1400,1001,260,28,111,637,597,417,37,1162,61,45,41,148,105,59,0.256
Orioles,1901,5596,6130,1434,943,264,16,211,705,681,401,29,1285,62,36,35,112,44,20,0.256
Giants,2140,5523,6087,1407,976,257,42,132,665,636,427,37,1245,43,49,45,113,56,27,0.255
Twins,1785,5567,6233,1412,941,316,27,128,715,675,544,29,1329,53,44,25,97,99,36,0.254
Nationals,1913,5542,6216,1403,959,265,27,152,686,635,517,29,1304,56,41,60,115,101,23,0.253
Indians,1860,5575,6222,1411,962,284,23,142,669,644,504,24,1189,42,49,51,126,104,27,0.253
Cardinals,2069,5426,6086,1371,970,275,21,105,619,585,471,28,1133,86,39,64,140,57,32,0.253
Marlins,1963,5538,6185,1399,987,254,36,122,645,614,501,49,1419,35,39,71,143,58,21,0.253
White Sox,1817,5543,6077,1400,934,279,32,155,660,625,417,33,1362,60,38,19,127,85,36,0.253
Brewers,2008,5462,6065,1366,891,297,28,150,650,617,423,32,1197,73,37,70,137,102,43,0.25
Diamondbacks,1958,5552,6089,1379,955,259,47,118,615,573,398,31,1165,43,36,56,115,86,33,0.248
Rays,1915,5516,6205,1361,957,263,24,117,612,586,527,31,1124,66,53,43,135,63,27,0.247
Yankees,1786,5497,6082,1349,929,247,26,147,633,591,452,16,1133,56,47,29,111,112,26,0.245
Athletics,2003,5545,6245,1354,922,253,33,146,729,686,586,34,1104,49,43,19,118,83,20,0.244
Red Sox,1733,5551,6226,1355,930,282,20,123,634,601,535,36,1337,68,52,20,138,63,25,0.244
Mariners,1928,5450,5977,1328,913,247,32,136,634,600,396,33,1232,60,34,35,113,96,42,0.244
Phillies,1987,5603,6198,1356,953,251,27,125,619,584,443,42,1306,55,37,59,95,109,26,0.242
Astros,1865,5447,6055,1317,895,240,19,163,629,596,495,27,1442,55,36,22,122,122,37,0.242
Braves,1928,5468,6064,1316,931,240,22,123,573,545,472,31,1369,43,27,53,121,95,33,0.241
Cubs,2009,5508,6102,1315,857,270,31,157,614,590,442,29,1477,54,41,57,94,65,40,0.239
Mets,2135,5472,6145,1306,887,275,19,125,629,602,516,42,1264,54,44,59,112,101,34,0.239
Reds,1926,5395,5978,1282,877,254,20,131,595,562,415,22,1252,52,37,76,88,122,52,0.238
Padres,2148,5294,5905,1199,836,224,30,109,535,500,468,27,1294,41,45,56,118,91,34,0.226
