"Year","Player","Age","Tm","W","L","G","IP","H","ER","HR","BB","SO","ERA","X.lgERA","X.ERA."
1948,"Roberts",21,"PHI",7,9,20,146.7,148,52,10,61,84,3.19,3.96,124
1949,"Roberts",22,"PHI",15,15,43,226.7,229,93,15,75,95,3.69,3.96,107
1950,"Roberts",23,"PHI",20,11,40,304.3,282,102,29,77,146,3.02,4.06,135
1951,"Roberts",24,"PHI",21,15,44,315,284,106,20,64,127,3.03,3.84,127
1952,"Roberts",25,"PHI",28,7,39,330,292,95,22,45,148,2.59,3.66,141
1953,"Roberts",26,"PHI",23,16,44,346.7,324,106,30,61,198,2.75,4.2,152
1954,"Roberts",27,"PHI",23,15,45,336.7,289,111,35,56,185,2.97,4.03,136
1955,"Roberts",28,"PHI",23,14,41,305,292,111,41,53,160,3.28,3.96,121
1956,"Roberts",29,"PHI",19,18,43,297.3,328,147,46,40,157,4.45,3.73,84
1957,"Roberts",30,"PHI",10,22,39,249.7,246,113,40,43,128,4.07,3.8,93
1958,"Roberts",31,"PHI",17,14,35,269.7,270,97,30,51,130,3.24,3.95,122
1959,"Roberts",32,"PHI",15,17,35,257.3,267,122,34,35,137,4.27,4.11,96
1960,"Roberts",33,"PHI",12,16,35,237.3,256,106,31,34,122,4.02,3.88,96
1961,"Roberts",34,"PHI",1,10,26,117,154,76,19,23,54,5.85,4.07,70
1962,"Roberts",35,"BAL",10,9,27,191.3,176,59,17,41,102,2.78,3.77,136
1963,"Roberts",36,"BAL",14,13,35,251.3,230,93,35,40,124,3.33,3.52,106
1964,"Roberts",37,"BAL",13,7,31,204,203,66,18,52,109,2.91,3.59,123
1965,"Roberts",38,"BAL/HOU",10,9,30,190.7,171,59,18,30,97,2.78,3.42,123
1966,"Roberts",39,"CHC/HOU",5,8,24,112,141,60,15,21,54,4.82,3.54,73
1950,"Ford",21,"NYY",9,1,20,112,87,35,7,52,59,2.81,4.3,153
1953,"Ford",24,"NYY",18,6,32,207,187,69,13,110,110,3,3.68,123
1954,"Ford",25,"NYY",16,8,34,210.7,170,66,10,101,125,2.82,3.42,121
1955,"Ford",26,"NYY",18,7,39,253.7,188,74,20,113,137,2.63,3.76,143
1956,"Ford",27,"NYY",19,6,31,225.7,187,62,13,84,141,2.47,3.87,156
1957,"Ford",28,"NYY",11,5,24,129.3,114,37,10,53,84,2.57,3.6,140
1958,"Ford",29,"NYY",14,7,30,219.3,174,49,14,62,145,2.01,3.54,176
1959,"Ford",30,"NYY",16,10,35,204,194,69,13,89,114,3.04,3.63,119
1960,"Ford",31,"NYY",12,9,33,192.7,168,66,15,65,85,3.08,3.6,117
1961,"Ford",32,"NYY",25,4,39,283,242,101,23,92,209,3.21,3.7,115
1962,"Ford",33,"NYY",17,8,38,257.7,243,83,22,69,160,2.9,3.73,129
1963,"Ford",34,"NYY",24,7,38,269.3,240,82,26,56,189,2.74,3.52,128
1964,"Ford",35,"NYY",17,6,39,244.7,212,58,10,57,172,2.13,3.62,170
1965,"Ford",36,"NYY",16,13,37,244.3,241,88,22,50,162,3.24,3.39,105
1966,"Ford",37,"NYY",2,5,22,73,79,20,8,24,43,2.47,3.33,135
1967,"Ford",38,"NYY",2,4,7,44,40,8,2,9,21,1.64,3.13,191
