"YEAR","HR","G","RATE"
1927,54,156,0.35
1927,84,153,0.55
1927,109,155,0.7
1927,74,153,0.48
1927,29,153,0.19
1927,39,154,0.25
1927,37,155,0.24
1927,57,155,0.37
1927,158,155,1.02
1927,56,155,0.36
1927,29,157,0.18
1927,51,156,0.33
1927,36,153,0.24
1927,26,153,0.17
1927,55,155,0.35
1927,28,154,0.18
1961,158,154,1.03
1961,157,154,1.02
1961,183,155,1.18
1961,188,155,1.21
1961,103,155,0.66
1961,128,154,0.83
1961,176,156,1.13
1961,103,155,0.66
1961,240,163,1.47
1961,180,163,1.1
1961,149,163,0.91
1961,138,163,0.85
1961,150,161,0.93
1961,112,163,0.69
1961,167,161,1.04
1961,189,162,1.17
1961,119,161,0.74
1961,90,162,0.56
1998,147,162,0.91
1998,214,162,1.32
1998,205,162,1.27
1998,198,163,1.21
1998,198,162,1.22
1998,165,162,1.02
1998,134,163,0.82
1998,115,163,0.71
1998,207,162,1.28
1998,149,162,0.92
1998,234,161,1.45
1998,111,163,0.68
1998,201,162,1.24
1998,221,163,1.36
1998,159,162,0.98
1998,215,162,1.33
1998,212,163,1.3
1998,138,162,0.85
1998,183,162,1.13
1998,114,162,0.7
1998,166,162,1.02
1998,159,162,0.98
1998,152,162,0.94
1998,147,162,0.91
1998,136,162,0.84
1998,126,163,0.77
1998,107,163,0.66
1998,167,162,1.03
1998,161,163,0.99
1998,223,163,1.37
2001,208,162,1.28
2001,174,162,1.07
2001,194,162,1.2
2001,176,162,1.09
2001,213,162,1.31
2001,166,162,1.02
2001,208,162,1.28
2001,206,162,1.27
2001,209,162,1.29
2001,131,162,0.81
2001,147,162,0.91
2001,164,162,1.01
2001,161,162,0.99
2001,161,162,0.99
2001,235,162,1.45
2001,199,162,1.23
2001,158,162,0.98
2001,136,161,0.84
2001,198,161,1.23
2001,214,162,1.32
2001,212,162,1.31
2001,139,162,0.86
2001,152,162,0.94
2001,164,162,1.01
2001,203,161,1.26
2001,199,162,1.23
2001,169,162,1.04
2001,121,162,0.75
2001,246,162,1.52
2001,195,162,1.2
