"teamID","lgID","G","AB","R","H","X2B","X3B","HR","BB","HBP","AVG","SLG","OBP"
"BAL","AL",162,5596,705,1434,264,16,211,401,62,0.256,0.422,0.311
"BOS","AL",162,5551,634,1355,282,20,123,535,68,0.244,0.369,0.316
"CHA","AL",162,5543,660,1400,279,32,155,417,60,0.253,0.398,0.31
"CLE","AL",162,5575,669,1411,284,23,142,504,42,0.253,0.389,0.317
"DET","AL",162,5630,757,1557,325,26,155,443,44,0.277,0.426,0.331
"HOU","AL",162,5447,629,1317,240,19,163,495,55,0.242,0.383,0.309
"KCA","AL",162,5545,651,1456,286,29,95,380,53,0.263,0.376,0.314
"LAA","AL",162,5652,773,1464,304,31,155,492,60,0.259,0.406,0.322
"MIN","AL",162,5567,715,1412,316,27,128,544,53,0.254,0.389,0.324
"NYA","AL",162,5497,633,1349,247,26,147,452,56,0.245,0.38,0.307
"OAK","AL",162,5545,729,1354,253,33,146,586,49,0.244,0.381,0.32
"SEA","AL",162,5450,634,1328,247,32,136,396,60,0.244,0.376,0.3
"TBA","AL",162,5516,612,1361,263,24,117,527,66,0.247,0.367,0.317
"TEX","AL",162,5460,637,1400,260,28,111,417,61,0.256,0.375,0.314
"TOR","AL",162,5549,723,1435,282,24,177,502,41,0.259,0.414,0.323
