"","teamID","W","L","R","RA"
"1","ARI",64,98,615,742
"2","ATL",79,83,573,597
"3","BAL",96,66,705,593
"4","BOS",71,91,634,715
"5","CHA",73,89,660,758
"6","CHN",73,89,614,707
"7","CIN",76,86,595,612
"8","CLE",85,77,669,653
"9","COL",66,96,755,818
"10","DET",90,72,757,705
"11","HOU",70,92,629,723
"12","KCA",89,73,651,624
"13","LAA",98,64,773,630
"14","LAN",94,68,718,617
"15","MIA",77,85,645,674
"16","MIL",82,80,650,657
"17","MIN",70,92,715,777
"18","NYA",84,78,633,664
"19","NYN",79,83,629,618
"20","OAK",88,74,729,572
"21","PHI",73,89,619,687
"22","PIT",88,74,682,631
"23","SDN",77,85,535,577
"24","SEA",87,75,634,554
"25","SFN",88,74,665,614
"26","SLN",90,72,619,603
"27","TBA",77,85,612,625
"28","TEX",67,95,637,773
"29","TOR",83,79,723,686
"30","WAS",96,66,686,555
