"","Name","SLG.2013","SLG.2014","Improvement"
"1","Domonic Brown",0.494,0.349,-0.145
"2","Melky Cabrera",0.36,0.458,0.098
"3","Miguel Cabrera",0.636,0.524,-0.112
"4","Alberto Callaspo",0.369,0.29,-0.079
"5","Zack Cozart",0.381,0.3,-0.081
"6","Chris Davis",0.634,0.404,-0.23
"7","Matt Dominguez",0.403,0.33,-0.073
"8","Brian Dozier",0.414,0.416,0.002
"9","Conor Gillaspie",0.39,0.416,0.026
"10","Alex Gordon",0.422,0.432,0.01
"11","Chase Headley",0.4,0.372,-0.028
"12","Aaron Hill",0.462,0.367,-0.095
"13","Matt Holliday",0.49,0.441,-0.049
"14","Brandon Moss",0.522,0.438,-0.084
"15","Albert Pujols",0.437,0.466,0.029
"16","Pablo Sandoval",0.417,0.415,-0.002
"17","Denard Span",0.38,0.416,0.036
"18","Ichiro Suzuki",0.342,0.34,-0.002
"19","Mark Trumbo",0.453,0.415,-0.038
"20","Jayson Werth",0.532,0.455,-0.077
