"Game","PA","HR"
1,5,1
2,4,1
3,4,1
4,5,1
5,4,0
6,4,0
7,4,0
8,4,1
9,4,1
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,1
18,4,0
19,4,0
20,4,0
21,5,0
22,5,1
23,4,0
24,4,0
25,5,1
26,3,0
27,5,0
28,4,0
29,4,0
30,2,0
31,4,0
32,4,0
33,4,0
34,4,1
35,6,0
36,4,0
37,4,1
38,4,0
39,5,0
40,4,0
41,5,1
42,4,0
43,5,1
44,4,0
45,4,1
46,4,1
47,5,1
48,4,0
49,5,0
50,5,0
51,4,1
52,4,2
53,3,0
54,4,0
55,4,0
56,4,1
57,4,0
58,5,0
59,5,0
60,4,0
61,3,0
62,5,0
63,3,0
64,4,0
65,4,1
66,7,0
67,4,1
68,4,0
69,4,1
70,4,1
71,4,0
72,5,2
73,4,1
74,4,0
75,4,0
76,4,0
77,4,1
78,4,0
79,4,0
80,3,0
81,4,2
82,4,1
83,4,0
84,4,1
85,4,0
86,3,0
87,4,1
88,4,0
89,5,0
90,4,0
91,4,0
92,3,1
93,4,1
94,4,1
95,4,1
96,4,0
97,5,0
98,5,0
99,5,0
100,4,0
101,4,0
102,4,0
103,4,0
104,4,0
105,4,0
106,4,1
107,4,0
108,4,1
109,4,1
110,4,0
111,4,0
112,4,0
113,5,1
114,5,0
115,5,1
116,5,0
117,4,1
118,4,1
119,6,0
120,4,0
121,5,0
122,5,1
123,5,0
124,4,0
125,4,1
126,5,0
127,4,0
128,4,0
129,3,0
130,4,1
131,5,0
132,4,0
133,4,0
134,4,0
135,5,0
136,5,0
137,4,0
138,3,0
139,4,1
140,5,0
141,4,0
142,4,0
143,4,1
144,4,0
145,4,0
146,5,1
147,4,0
148,4,0
149,4,1
150,6,0
151,4,0
152,8,0
153,4,0
154,4,0
155,5,1
156,5,0
157,4,0
158,3,1
159,4,0
160,1,0
