"","GAME_ID","Date","AB","H"
"1","TBA201403310","03310",4,1
"2","TBA201404010","04010",5,2
"3","TBA201404020","04020",5,2
"4","TBA201404030","04030",4,1
"5","TOR201404040","04040",4,1
"6","TOR201404050","04050",4,2
"7","TOR201404060","04060",5,1
"8","TOR201404080","04080",4,1
"9","TOR201404090","04090",5,2
"10","TOR201404100","04100",5,2
"11","BAL201404110","04110",4,1
"12","BAL201404120","04120",6,2
"13","BAL201404130","04130",6,2
"14","MIN201404150","04150",4,1
"15","MIN201404171","04171",4,0
"16","MIN201404172","04172",4,1
"17","CLE201404180","04180",5,4
"18","CLE201404190","04190",5,2
"19","CLE201404200","04200",4,2
"20","TOR201404220","04220",5,1
"21","TOR201404230","04230",5,3
"22","TOR201404240","04240",3,1
"23","TOR201404250","04250",4,1
"24","TOR201404260","04260",5,1
"25","TOR201404270","04270",4,2
"26","KCA201404290","04290",5,2
"27","KCA201404300","04300",2,0
"28","PIT201405020","05020",5,1
"29","PIT201405030","05030",4,0
"30","PIT201405040","05040",5,3
"31","PHI201405050","05050",4,2
"32","PHI201405060","05060",4,1
"33","TOR201405070","05070",4,0
"34","TOR201405080","05080",5,2
"35","TOR201405090","05090",3,2
"36","TOR201405100","05100",4,1
"37","TOR201405110","05110",4,1
"38","TOR201405120","05120",3,1
"39","TOR201405130","05130",2,0
"40","TOR201405140","05140",4,1
"41","TOR201405150","05150",5,0
"42","TEX201405160","05160",2,1
"43","TEX201405170","05170",5,0
"44","TEX201405180","05180",4,1
"45","BOS201405200","05200",5,4
"46","BOS201405210","05210",5,1
"47","BOS201405220","05220",3,1
"48","TOR201405230","05230",4,0
"49","TOR201405240","05240",4,2
"50","TOR201405250","05250",3,0
"51","TOR201405260","05260",3,3
"52","TOR201405270","05270",5,1
"53","TOR201405280","05280",4,0
"54","TOR201405290","05290",4,2
"55","TOR201405300","05300",5,0
"56","TOR201405310","05310",4,1
"57","TOR201406010","06010",4,1
"58","DET201406030","06030",4,0
"59","DET201406040","06040",5,3
"60","DET201406050","06050",5,1
"61","TOR201406060","06060",5,1
"62","TOR201406070","06070",4,2
"63","TOR201406080","06080",3,0
"64","TOR201406090","06090",4,1
"65","TOR201406100","06100",4,1
"66","TOR201406110","06110",4,1
"67","BAL201406120","06120",3,1
"68","BAL201406130","06130",4,1
"69","BAL201406140","06140",5,0
"70","BAL201406150","06150",4,0
"71","NYA201406170","06170",4,1
"72","NYA201406180","06180",3,2
"73","NYA201406190","06190",4,2
"74","CIN201406200","06200",4,2
"75","CIN201406210","06210",4,1
"76","CIN201406220","06220",4,2
"77","TOR201406230","06230",5,2
"78","TOR201406240","06240",4,0
"79","TOR201406250","06250",4,2
"80","TOR201406260","06260",3,1
"81","TOR201406270","06270",5,2
"82","TOR201406280","06280",5,0
"83","TOR201406290","06290",1,0
"84","TOR201407010","07010",4,1
"85","TOR201407020","07020",4,2
"86","OAK201407030","07030",3,0
"87","OAK201407040","07040",5,1
"88","OAK201407050","07050",4,2
"89","OAK201407060","07060",4,1
"90","ANA201407070","07070",4,2
"91","ANA201407080","07080",4,1
"92","ANA201407090","07090",3,1
"93","TBA201407110","07110",4,2
"94","TBA201407120","07120",5,0
"95","TBA201407130","07130",3,1
"96","TOR201407180","07180",4,1
"97","TOR201407190","07190",4,3
"98","TOR201407200","07200",5,3
"99","TOR201407210","07210",2,0
"100","TOR201407220","07220",5,3
"101","TOR201407230","07230",3,0
"102","TOR201407240","07240",4,3
"103","NYA201407250","07250",4,1
"104","NYA201407260","07260",4,1
"105","NYA201407270","07270",5,2
"106","BOS201407280","07280",4,2
"107","BOS201407290","07290",5,1
"108","BOS201407300","07300",4,2
"109","HOU201407310","07310",4,1
"110","HOU201408010","08010",3,1
"111","HOU201408020","08020",4,1
"112","HOU201408030","08030",4,0
"113","TOR201408050","08050",4,2
"114","TOR201408060","08060",4,3
"115","TOR201408080","08080",5,1
"116","TOR201408090","08090",4,2
"117","TOR201408100","08100",5,3
"118","SEA201408110","08110",4,0
"119","SEA201408120","08120",4,2
"120","SEA201408130","08130",4,0
"121","CHA201408150","08150",5,1
"122","CHA201408160","08160",5,2
"123","CHA201408170","08170",4,2
"124","MIL201408190","08190",4,0
"125","MIL201408200","08200",5,2
"126","TOR201408220","08220",3,0
"127","TOR201408230","08230",4,2
"128","TOR201408240","08240",5,0
"129","TOR201408250","08250",4,1
"130","TOR201408260","08260",6,2
"131","TOR201408270","08270",4,0
"132","TOR201408290","08290",4,0
"133","TOR201408300","08300",4,1
"134","TOR201408310","08310",4,1
"135","TBA201409020","09020",5,1
"136","TBA201409030","09030",4,0
"137","TBA201409040","09040",4,0
"138","BOS201409050","09050",1,1
