"PLAYER","AGE","AB","H","AVG"
"Gwynn",22,190,55,0.289
"Gwynn",23,304,94,0.309
"Gwynn",24,606,213,0.351
"Gwynn",25,622,197,0.317
"Gwynn",26,642,211,0.329
"Gwynn",27,589,218,0.37
"Gwynn",28,521,163,0.313
"Gwynn",29,604,203,0.336
"Gwynn",30,573,177,0.309
"Gwynn",31,530,168,0.317
"Gwynn",32,520,165,0.317
"Gwynn",33,489,175,0.358
"Gwynn",34,419,165,0.394
"Gwynn",35,535,197,0.368
"Gwynn",36,451,159,0.353
"Gwynn",37,592,220,0.372
"Gwynn",38,461,148,0.321
"Gwynn",39,411,139,0.338
"Gwynn",40,127,41,0.323
"Gwynn",41,102,33,0.324
"Boggs",24,338,118,0.349
"Boggs",25,582,210,0.361
"Boggs",26,625,203,0.325
"Boggs",27,653,240,0.368
"Boggs",28,580,207,0.357
"Boggs",29,551,200,0.363
"Boggs",30,584,214,0.366
"Boggs",31,621,205,0.33
"Boggs",32,619,187,0.302
"Boggs",33,546,181,0.332
"Boggs",34,514,133,0.259
"Boggs",35,560,169,0.302
"Boggs",36,366,125,0.342
"Boggs",37,460,149,0.324
"Boggs",38,501,156,0.311
"Boggs",39,353,103,0.292
"Boggs",40,435,122,0.28
"Boggs",41,292,88,0.301
