"Player","AB","H","BB","HBP","SF","OBP"
"Jose Abreu",556,176,51,11,4,0.383
"Dustin Ackley",502,123,32,3,2,0.293
"Matt Adams",527,152,26,3,7,0.321
"Jose Altuve",660,225,36,5,5,0.377
"Pedro Alvarez",398,92,45,2,0,0.312
"Alexi Amarista",423,101,29,1,5,0.286
"Elvis Andrus",619,163,46,3,7,0.314
"Nori Aoki",491,140,43,6,1,0.349
"Oswaldo Arcia",372,86,31,6,1,0.3
"Nolan Arenado",432,124,25,4,5,0.328
"Cody Asche",397,100,33,0,1,0.309
"Alex Avila",390,85,61,3,2,0.327
"Mike Aviles",344,85,13,1,5,0.273
"Erick Aybar",589,164,36,5,8,0.321
"Jose Bautista",553,158,104,9,6,0.403
"Gordon Beckham",446,101,22,7,5,0.271
"Adrian Beltre",549,178,57,3,5,0.388
"Carlos Beltran",403,94,37,4,5,0.301
"Charlie Blackmon",593,171,31,13,5,0.335
"Gregor Blanco",393,102,41,3,1,0.333
"Xander Bogaerts",538,129,39,8,7,0.297
"Emilio Bonifacio",394,102,26,0,0,0.305
"Michael Bourn",444,114,35,3,2,0.314
"Jackie Bradley",384,76,31,5,2,0.265
"Michael Brantley",611,200,52,8,5,0.385
"Ryan Braun",530,141,41,6,3,0.324
"Domonic Brown",473,111,34,1,4,0.285
"Jay Bruce",493,107,44,2,5,0.281
"Billy Butler",549,149,41,5,8,0.323
"Marlon Byrd",591,156,35,8,3,0.312
"Asdrubal Cabrera",553,133,49,7,6,0.307
"Everth Cabrera",357,83,20,1,4,0.272
"Melky Cabrera",568,171,43,3,5,0.351
"Miguel Cabrera",611,191,60,3,11,0.371
"Lorenzo Cain",471,142,24,4,3,0.339
"Kole Calhoun",493,134,38,2,2,0.325
"Alberto Callaspo",404,90,40,1,6,0.29
"Robinson Cano",595,187,61,6,3,0.382
"Matt Carpenter",595,162,95,8,9,0.375
"Chris Carter",507,115,56,5,4,0.308
"Nick Castellanos",533,138,36,3,7,0.306
"Welington Castillo",380,90,26,7,2,0.296
"Jason Castro",465,103,34,9,3,0.286
"Starlin Castro",528,154,35,4,2,0.339
"Yoenis Cespedes",600,156,35,3,7,0.301
"Robinson Chirinos",306,73,17,7,4,0.29
"Lonnie Chisenhall",478,134,39,8,3,0.343
"Shin-Soo Choo",455,110,58,12,4,0.34
"Chris Coghlan",385,109,39,3,2,0.352
"Zack Cozart",506,112,25,7,0,0.268
"Allen Craig",461,99,35,7,2,0.279
"Brandon Crawford",491,121,59,2,10,0.324
"Carl Crawford",343,103,16,6,4,0.339
"Coco Crisp",463,114,66,0,6,0.336
"Nelson Cruz",613,166,55,5,5,0.333
"Travis d'Arnaud",385,93,32,2,1,0.302
"Chris Davis",450,88,60,9,5,0.3
"Ike Davis",360,84,63,0,4,0.344
"Khris Davis",501,122,32,10,6,0.299
"Rajai Davis",461,130,22,5,3,0.32
"Alejandro De Aza",477,120,39,6,3,0.314
"Chris Denorfia",330,76,25,0,1,0.284
"Ian Desmond",593,151,46,6,3,0.313
"Corey Dickerson",436,136,37,1,4,0.364
"Matt Dominguez",564,121,29,5,7,0.256
"Josh Donaldson",608,155,76,7,4,0.342
"Brian Dozier",598,145,89,9,8,0.345
"Lucas Duda",514,130,69,9,4,0.349
"Adam Dunn",429,94,71,7,4,0.337
"Adam Eaton",486,146,43,5,2,0.362
"Jacoby Ellsbury",575,156,49,3,7,0.328
"Edwin Encarnacion",477,128,62,2,1,0.354
"Alcides Escobar",579,165,23,6,4,0.317
"Eduardo Escobar",433,119,24,2,2,0.315
"Yunel Escobar",476,123,43,4,2,0.324
"Danny Espinosa",333,73,18,12,1,0.283
"Andre Ethier",341,85,31,6,1,0.322
"Tyler Flowers",407,98,25,8,1,0.297
"Logan Forsythe",301,67,25,4,4,0.287
"Dexter Fowler",434,120,66,3,1,0.375
"Todd Frazier",597,163,52,7,4,0.336
"Freddie Freeman",607,175,90,8,3,0.386
"David Freese",462,120,38,6,5,0.321
"Sam Fuld",351,84,43,0,2,0.321
"Brett Gardner",555,142,56,6,6,0.327
"Evan Gattis",369,97,22,8,2,0.317
"Scooter Gennett",440,127,22,0,4,0.32
"Conor Gillaspie",464,131,36,3,3,0.336
"Paul Goldschmidt",406,122,64,2,3,0.396
"Yan Gomes",485,135,24,3,6,0.313
"Carlos Gomez",574,163,47,19,3,0.356
"Adrian Gonzalez",591,163,56,2,11,0.335
"Alex Gordon",563,150,65,11,4,0.351
"Dee Gordon",609,176,31,4,3,0.326
"Curtis Granderson",564,128,79,6,5,0.326
"Yasmani Grandal",377,85,58,2,6,0.327
"Robbie Grossman",360,84,55,2,2,0.337
"Jedd Gyorko",400,84,36,4,3,0.28
"Billy Hamilton",563,141,34,1,4,0.292
"Josh Hamilton",338,89,32,5,6,0.331
"J. J. Hardy",529,142,29,4,4,0.309
"Bryce Harper",352,96,38,1,1,0.344
"Josh Harrison",520,164,22,4,2,0.347
"Chase Headley",470,114,51,9,1,0.328
"Adeiny Hechavarria",536,148,26,1,6,0.308
"Jason Heyward",573,155,67,6,3,0.351
"Aaron Hill",501,122,28,5,7,0.287
"Matt Holliday",574,156,74,17,2,0.37
"Brock Holt",449,126,33,2,3,0.331
"Eric Hosmer",503,136,35,3,6,0.318
"Ryan Howard",569,127,67,7,5,0.31
"Torii Hunter",549,157,23,7,7,0.319
"Chris Iannetta",306,77,54,8,5,0.373
"Ender Inciarte",418,116,25,0,0,0.318
"Omar Infante",528,133,33,2,7,0.295
"Austin Jackson",597,153,47,2,9,0.308
"John Jaso",307,81,28,7,2,0.337
"Jon Jay",413,125,28,20,4,0.372
"Desmond Jennings",479,117,47,6,1,0.319
"Derek Jeter",581,149,35,6,4,0.304
"Chris Johnson",582,153,23,2,2,0.292
"Adam Jones",644,181,19,12,7,0.311
"Garrett Jones",496,122,46,1,4,0.309
"James Jones",312,78,12,0,0,0.278
"Matthew Joyce",418,106,62,4,9,0.349
"Matt Kemp",541,155,52,0,6,0.346
"Howie Kendrick",617,181,48,4,2,0.347
"Kevin Kiermaier",331,87,23,3,2,0.315
"Ian Kinsler",684,188,29,5,5,0.307
"Jason Kipnis",500,120,50,2,2,0.31
"Juan Lagares",416,117,20,7,6,0.321
"Junior Lake",308,65,14,1,2,0.246
"Adam LaRoche",494,128,82,2,8,0.362
"Tommy La Stella",319,80,36,1,1,0.328
"DJ LeMahieu",494,132,33,2,2,0.315
"James Loney",600,174,41,4,6,0.336
"Evan Longoria",624,158,57,9,9,0.32
"Jed Lowrie",502,125,51,5,6,0.321
"Jonathan Lucroy",585,176,66,2,2,0.373
"Ryan Ludwick",357,87,31,4,4,0.308
"Manny Machado",327,91,20,3,2,0.324
"Nick Markakis",642,177,62,4,2,0.342
"Starling Marte",495,144,33,17,0,0.356
"J. D. Martinez",441,139,30,3,6,0.358
"Leonys Martin",533,146,39,2,2,0.325
"Russell Martin",379,110,59,15,5,0.402
"Victor Martinez",561,188,70,4,6,0.409
"Joe Mauer",455,126,60,1,2,0.361
"Brian McCann",495,115,32,7,4,0.286
"Andrew McCutchen",548,172,84,10,6,0.41
"Casey McGehee",616,177,67,1,7,0.355
"Jordy Mercer",506,129,35,4,5,0.305
"Devin Mesoraco",384,105,41,12,3,0.359
"Brad Miller",367,81,34,2,3,0.288
"Yadier Molina",404,114,28,6,6,0.333
"Miguel Montero",489,119,56,9,6,0.329
"Kendrys Morales",367,80,27,3,4,0.274
"Justin Morneau",502,160,34,6,8,0.364
"Logan Morrison",336,88,24,3,2,0.315
"Mike Morse",438,122,31,9,4,0.336
"Brandon Moss",500,117,67,10,3,0.334
"Mike Moustakas",457,97,35,3,4,0.271
"David Murphy",416,109,36,2,7,0.319
"Daniel Murphy",596,172,39,2,5,0.332
"Wil Myers",325,72,34,0,2,0.294
"Mike Napoli",415,103,78,4,3,0.37
"Daniel Nava",363,98,33,10,2,0.346
"Dioner Navarro",481,132,32,1,6,0.317
"Derek Norris",385,104,54,1,1,0.361
"Rougned Odor",386,100,17,5,3,0.297
"David Ortiz",518,136,75,3,6,0.355
"Chris Owings",310,81,16,2,2,0.3
"Marcell Ozuna",565,152,41,1,5,0.317
"Angel Pagan",383,115,25,1,3,0.342
"Gerardo Parra",529,138,32,5,2,0.308
"Steve Pearce",338,99,40,4,1,0.373
"Dustin Pedroia",551,153,51,1,6,0.337
"Brayan Pena",348,88,20,0,3,0.291
"Hunter Pence",650,180,52,3,3,0.332
"David Peralta",329,94,16,1,1,0.32
"Jhonny Peralta",560,147,58,6,4,0.336
"Salvador Perez",578,150,22,3,3,0.289
"Brandon Phillips",462,123,23,6,6,0.306
"A. J. Pierzynski",338,85,14,5,4,0.288
"Trevor Plouffe",520,134,53,4,5,0.328
"Buster Posey",547,170,47,3,8,0.364
"Martin Prado",536,151,26,7,4,0.321
"Yasiel Puig",558,165,67,12,1,0.382
"Albert Pujols",633,172,48,5,9,0.324
"Alexei Ramirez",622,170,24,6,4,0.305
"Aramis Ramirez",494,141,21,13,3,0.33
"Hanley Ramirez",449,127,56,6,1,0.369
"Wilson Ramos",341,91,17,0,3,0.299
"Colby Rasmus",346,78,29,1,0,0.287
"Josh Reddick",363,96,28,1,3,0.316
"Anthony Rendon",613,176,58,5,5,0.351
"Ben Revere",601,184,13,4,1,0.325
"Jose Reyes",610,175,38,1,4,0.328
"Mark Reynolds",378,74,47,3,4,0.287
"Alex Rios",492,138,23,1,5,0.311
"Anthony Rizzo",524,150,73,15,4,0.386
"Brian Roberts",317,75,28,1,1,0.3
"Jimmy Rollins",538,131,64,1,3,0.323
"Wilin Rosario",382,102,23,0,5,0.305
"Carlos Ruiz",381,96,46,12,5,0.347
"Josh Rutledge",309,83,20,6,2,0.323
"Jarrod Saltalamacchia",373,82,55,2,5,0.32
"Pablo Sandoval",588,164,39,4,7,0.324
"Carlos Santana",541,125,113,3,3,0.365
"Danny Santana",405,129,19,3,1,0.353
"Nate Schierholtz",353,69,20,4,6,0.243
"Jonathan Schoop",455,95,13,8,0,0.244
"Kyle Seager",590,158,52,8,3,0.334
"Jean Segura",513,126,28,4,2,0.289
"Andrelton Simmons",540,132,32,0,2,0.286
"Jon Singleton",310,52,50,1,1,0.285
"Grady Sizemore",347,81,33,0,1,0.299
"Seth Smith",443,118,69,4,4,0.367
"Travis Snider",322,85,34,2,0,0.338
"Donovan Solano",310,78,19,3,1,0.3
"Yangervis Solarte",469,122,53,4,6,0.336
"Denard Span",610,184,50,2,3,0.355
"Giancarlo Stanton",539,155,94,3,2,0.395
"Drew Stubbs",388,112,30,1,3,0.339
"Ichiro Suzuki",359,102,21,1,2,0.324
"Kurt Suzuki",452,130,34,9,7,0.345
"Nick Swisher",360,75,36,0,4,0.278
"Mark Teixeira",440,95,58,6,4,0.313
"Ruben Tejada",355,84,50,8,2,0.342
"Mike Trout",602,173,83,10,10,0.377
"Mark Trumbo",328,77,28,1,5,0.293
"Troy Tulowitzki",315,107,50,5,5,0.432
"Melvin Upton",519,108,57,1,2,0.287
"Justin Upton",566,153,60,6,8,0.342
"Juan Uribe",386,120,15,1,2,0.337
"Chase Utley",589,159,53,13,9,0.339
"Luis Valbuena",478,119,65,2,1,0.341
"Will Venable",406,91,33,4,2,0.288
"Dayan Viciedo",523,121,32,5,3,0.281
"Neil Walker",512,139,45,11,2,0.342
"Jayson Werth",534,156,83,9,3,0.394
"Kolten Wong",402,100,21,4,1,0.292
"David Wright",535,144,42,4,5,0.324
"Christian Yelich",582,165,70,3,2,0.362
"Chris Young",325,72,32,5,3,0.299
"Ben Zobrist",570,155,75,1,6,0.354
"Mike Zunino",438,87,17,17,4,0.254
