"Date","AB","H"
"03310",4,2
"04021",3,1
"04022",4,1
"04040",4,1
"04050",4,1
"04060",5,3
"04080",4,0
"04091",3,1
"04092",3,0
"04100",4,1
"04110",4,1
"04120",3,1
"04130",3,1
"04160",3,0
"04170",5,2
"04180",5,1
"04190",3,0
"04200",3,2
"04210",4,1
"04220",4,2
"04230",3,1
"04240",3,1
"04250",4,0
"04260",3,0
"04270",3,0
"04280",4,0
"04290",3,1
"05020",5,3
"05030",4,1
"05040",5,1
"05050",4,1
"05060",3,1
"05070",4,2
"05080",5,3
"05090",5,1
"05100",3,1
"05110",4,1
"05130",4,0
"05140",3,1
"05160",4,1
"05170",3,1
"05180",3,2
"05190",4,2
"05200",4,1
"05210",7,4
"05220",6,2
"05230",4,1
"05240",3,1
"05250",4,1
"05260",3,2
"05270",4,1
"05280",4,2
"05300",4,1
"05310",4,0
"06010",4,2
"06020",3,0
"06030",4,1
"06040",5,3
"06060",4,1
"06070",5,1
"06080",5,0
"06090",3,3
"06100",3,1
"06110",4,2
"06120",4,2
"06130",4,2
"06140",4,2
"06150",4,2
"06160",2,1
"06200",1,1
"06210",5,0
"06220",5,3
"06240",5,1
"06250",4,2
"06270",3,0
"06280",4,1
"06290",3,0
"06300",3,0
"07010",5,2
"07020",4,0
"07040",4,2
"07050",5,3
"07060",4,2
"07070",4,2
"07080",4,3
"07090",6,1
"07100",4,2
"07110",4,1
"07120",4,1
"07130",4,0
"07180",5,4
"07191",5,1
"07192",4,2
"07200",3,0
"07210",1,1
"07220",4,0
"07230",4,0
"07240",6,0
"07250",4,1
"07260",5,2
"07270",4,2
"07290",3,0
"07300",3,0
"07310",3,2
"08010",4,3
"08020",4,2
"08030",6,2
"08040",4,2
"08050",4,1
"08060",3,0
"08070",4,1
"08080",3,1
"08090",4,3
"08100",3,1
"08131",4,1
"08132",5,2
"08150",4,0
"08160",4,1
"08170",3,0
"08190",3,1
"08200",4,0
"08210",4,0
"08220",4,0
"08230",4,1
"08260",4,1
"08270",4,0
"08280",4,1
"08290",5,3
"08300",5,2
"08310",5,1
"09010",3,1
"09020",4,2
"09030",4,1
"09040",5,2
"09050",4,1
"09060",4,3
"09070",3,2
"09080",4,1
"09090",3,0
"09111",3,2
"09112",3,1
"09120",4,2
"09130",4,2
"09140",4,2
"09150",4,2
"09160",4,1
"09170",4,2
"09180",5,1
"09190",5,2
"09200",4,2
"09210",5,3
"09220",3,1
"09230",4,2
"09240",4,3
"09260",3,0
"09270",4,1
