"YR","TM","L","G","AB","R","H","HR","RBI","AVG","OBP","SLG"
1936,"NY","A",138,637,132,206,29,125,0.323,0.352,0.576
1937,"NY","A",151,621,151,215,46,167,0.346,0.412,0.673
1938,"NY","A",145,599,129,194,32,140,0.324,0.386,0.581
1939,"NY","A",120,462,108,176,30,126,0.381,0.448,0.671
1940,"NY","A",132,508,93,179,31,133,0.352,0.425,0.626
1941,"NY","A",139,541,122,193,30,125,0.357,0.44,0.643
1942,"NY","A",154,610,123,186,21,114,0.305,0.376,0.498
1946,"NY","A",132,503,81,146,25,95,0.29,0.367,0.511
1947,"NY","A",141,534,97,168,20,97,0.315,0.391,0.522
1948,"NY","A",153,594,110,190,39,155,0.32,0.396,0.598
1949,"NY","A",76,272,58,94,14,67,0.346,0.459,0.596
1950,"NY","A",139,525,114,158,32,122,0.301,0.394,0.585
1951,"NY","A",116,415,72,109,12,71,0.263,0.365,0.422
