"Pitcher","Birthyear","ERA"
"Grover Cleveland Alexander",1887,2.56
"Charles Chief Bender",1884,2.46
"Mordecai Three Finger Brown",1876,2.06
"Jim Bunning",1931,3.27
"Steve Carlton",1944,3.22
"Jack Chesbro",1874,2.68
"John Clarkson",1861,2.81
"Stan Coveleski",1889,2.89
"W.A. Candy Cummings",1848,2.78
"Jay Hanna Dizzy Dean",1911,3.02
"Don Drysdale",1936,2.95
"Urban Red Faber",1888,3.15
"Bob Feller",1918,3.25
"Rollie Fingers",1946,2.9
"Edward Whitey Ford",1928,2.75
"Rube Foster",1888,2.36
"James Pud Galvin",1856,2.87
"Bob Gibson",1935,2.91
"Vernon Lefty Gomez",1908,3.34
"Burleigh Grimes",1893,3.53
"Robert Lefty Grove",1900,3.06
"Jesse Pop Haines",1878,3.64
"Waite Hoyt",1899,3.59
"Carl Hubbell",1903,2.98
"Jim Catfish Hunter",1946,3.26
"Ferguson Jenkins",1943,3.34
"Walter Johnson",1887,2.16
"Addie Joss",1880,1.89
"Tim Keefe",1857,2.62
"Sandy Koufax",1935,2.76
"Bob Lemon",1920,3.23
"Juan Marichal",1937,2.89
"Richard Rube Marquard",1889,3.08
"Christy Mathewson",1880,2.13
"Joe McGinnity",1871,2.66
"Hal Newhouser",1921,3.06
"Charles Kid Nichols",1869,2.95
"Phil Niekro",1939,3.35
"Jim Palmer",1945,2.86
"Herb Pennock",1894,3.6
"Gaylord Perry",1938,3.11
"Eddie Plank",1875,2.35
"Eppa Rixey",1891,3.15
"Robin Roberts",1926,3.41
"Amos Rusie",1871,3.07
"Nolan Ryan",1947,3.17
"Tom Seaver",1944,2.86
"Warren Spahn",1921,3.09
"Don Sutton",1945,3.26
"A.C. Dazzy Vance",1891,3.24
"George Rube Waddell",1876,2.16
"Ed Walsh",1881,1.82
"Mickey Welch",1859,2.71
"Hoyt Wilhelm",1923,2.52
"Vic Willis",1876,2.63
"Early Wynn",1920,3.54
"Denton Cy Young",1867,2.63
