Player,Salary
Freddie Freeman,8500000
Andrelton Simmons,3000000
Nick Markakis,11000000
Julio Teheran,1000000
Trevor Cahill,12000000
Cameron Maybin,7000000
Chris Johnson,6000000
Juan Uribe,6500000
Jason Grilli,4250000
Mike Minor,5600000
Jonny Gomes,4000000
A.J. Pierzynski,2000000
Jim Johnson,1600000
Kelly Johnson,1500000
Eric Young,1000000
Josh Outman,925000
Shelby Miller,535000
Luis Avilan,530000
Chris Withrow,522500
Alex Wood,520000
Shae Simmons,508750
Mike Foltynewicz,508750
Joey Terdoslavich,507500
Philip Gosselin,507500
Christian Bethancourt,507500
Jace Peterson,507500
Todd Cunningham,507500
