PLAYER,AGE,OBP,SLG
Henderson,20,0.338,0.336
Henderson,21,0.42,0.399
Henderson,22,0.408,0.437
Henderson,23,0.398,0.382
Henderson,24,0.414,0.421
Henderson,25,0.399,0.458
Henderson,26,0.419,0.516
Henderson,27,0.358,0.469
Henderson,28,0.423,0.497
Henderson,29,0.394,0.399
Henderson,30,0.411,0.399
Henderson,31,0.439,0.577
Henderson,32,0.4,0.423
Henderson,33,0.426,0.457
Henderson,34,0.432,0.474
Henderson,35,0.411,0.365
Henderson,36,0.407,0.447
Henderson,37,0.41,0.344
Henderson,38,0.4,0.342
Henderson,39,0.376,0.347
Henderson,40,0.423,0.466
Henderson,41,0.368,0.305
Henderson,42,0.366,0.351
Raines,21,0.391,0.438
Raines,22,0.353,0.369
Raines,23,0.393,0.429
Raines,24,0.393,0.437
Raines,25,0.405,0.475
Raines,26,0.413,0.476
Raines,27,0.429,0.526
Raines,28,0.35,0.431
Raines,29,0.395,0.418
Raines,30,0.379,0.392
Raines,31,0.359,0.345
Raines,32,0.38,0.405
Raines,33,0.401,0.48
Raines,34,0.365,0.409
Raines,35,0.374,0.422
Raines,36,0.383,0.468
Raines,37,0.403,0.454
Raines,38,0.395,0.383
