"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Anderson","John",1897,492,160,28,12,4
"Anson","Cap",1897,424,121,17,3,3
"Brown","Tom",1897,469,137,17,2,5
"Burkett","Jesse",1897,517,198,28,7,2
"Childs","Cupid",1897,444,150,15,9,1
"Clarke","Fred",1897,518,202,30,13,6
"Clark","Willie",1897,431,122,17,12,1
"Collins","Jimmy",1897,529,183,28,13,6
"Cooley","Duff",1897,566,186,14,13,4
"Corcoran","Tommy",1897,445,128,30,5,3
"Cross","Monte",1897,462,132,17,11,4
"Davis","George",1897,519,183,31,10,10
"Davis","Harry",1897,429,131,10,28,2
"Decker","George",1897,428,124,12,7,5
"Delahanty","Ed",1897,530,200,40,15,5
"DeMontreville","Gene",1897,566,193,27,8,3
"Donovan","Patsy",1897,479,154,16,7,0
"Douglass","Klondike",1897,516,170,15,3,6
"Doyle","Jack",1897,460,163,29,4,2
"Duffy","Hugh",1897,550,187,25,10,11
"Ely","Bones",1897,516,146,20,8,2
"Gleason","Kid",1897,540,172,16,4,1
"Griffin","Mike",1897,534,169,25,11,2
"Hamilton","Billy",1897,507,174,17,5,3
"Hartman","Fred",1897,516,158,21,8,2
"Hoy","Dummy",1897,497,145,24,6,2
"Irwin","Charlie",1897,505,146,26,6,0
"Jennings","Hughie",1897,439,156,26,9,2
"Jones","Fielder",1897,548,172,15,10,1
"Keeler","Willie",1897,564,239,27,19,0
"Kelley","Joe",1897,505,183,31,9,5
"LaChance","Candy",1897,520,160,28,16,4
"Lajoie","Nap",1897,545,197,40,23,9
"Lange","Bill",1897,479,163,24,14,5
"Long","Herman",1897,450,145,32,7,3
"Lowe","Bobby",1897,499,154,24,8,5
"McCormick","Barry",1897,419,112,8,10,2
"McKean","Ed",1897,523,143,21,14,2
"Miller","Dusty",1897,440,139,27,1,4
"Padden","Dick",1897,517,146,16,10,2
"Reitz","Heinie",1897,477,138,15,6,2
"Ryan","Jimmy",1897,520,156,33,17,5
"Selbach","Kip",1897,486,152,25,16,5
"Shindle","Billy",1897,542,154,32,6,4
"Smith","Elmer",1897,467,145,19,17,6
"Smith","Germany",1897,428,86,17,3,0
"Stafford","General",1897,432,120,16,5,7
"Stahl","Chick",1897,469,166,30,13,4
"Stenzel","Jake",1897,536,189,43,7,4
"Tebeau","Patsy",1897,412,110,15,9,0
"Tenney","Fred",1897,566,180,24,3,1
"Tiernan","Mike",1897,528,174,29,10,5
"Turner","Tuck",1897,416,121,17,12,2
"Van Haltren","George",1897,564,186,22,9,3
"Wallace","Bobby",1897,516,173,33,21,4
"Werden","Perry",1897,506,153,21,14,5
"Alfonzo","Edgardo",1997,518,163,27,2,10
"Alomar","Roberto",1997,412,137,23,2,14
"Alomar Jr.","Sandy",1997,451,146,37,0,21
"Alou","Moises",1997,538,157,29,5,23
"Anderson","Brady",1997,590,170,39,7,18
"Anderson","Garret",1997,624,189,36,3,8
"Ausmus","Brad",1997,425,113,25,1,4
"Baerga","Carlos",1997,467,131,25,1,9
"Bagwell","Jeff",1997,566,162,40,2,43
"Becker","Rich",1997,443,117,22,3,10
"Bell","Derek",1997,493,136,29,3,15
"Belle","Albert",1997,634,174,45,1,30
"Bell","Jay",1997,573,167,28,3,21
"Bichette","Dante",1997,561,173,31,2,26
"Biggio","Craig",1997,619,191,37,8,22
"Blauser","Jeff",1997,519,160,31,4,17
"Bonds","Barry",1997,532,155,26,5,40
"Bonilla","Bobby",1997,562,167,39,3,17
"Boone","Bret",1997,443,99,25,1,7
"Bordick","Mike",1997,509,120,19,1,7
"Bragg","Darren",1997,513,132,35,2,9
"Brogna","Rico",1997,543,137,36,1,20
"Brosius","Scott",1997,479,97,20,1,11
"Buhner","Jay",1997,540,131,18,2,40
"Burks","Ellis",1997,424,123,19,2,32
"Burnitz","Jeromy",1997,494,139,37,8,27
"Caminiti","Ken",1997,486,141,28,0,26
"Carter","Joe",1997,612,143,30,4,21
"Castilla","Vinny",1997,612,186,25,2,40
"Cirillo","Jeff",1997,580,167,46,2,10
"Clark","Tony",1997,580,160,28,3,32
"Clayton","Royce",1997,576,153,39,5,9
"Conine","Jeff",1997,405,98,13,1,17
"Coomer","Ron",1997,523,156,30,2,13
"Cora","Joey",1997,574,172,40,4,11
"Cordero","Wil",1997,570,160,26,3,18
"Cruz","Deivi",1997,436,105,26,0,2
"Damon","Johnny",1997,472,130,12,8,8
"Davis","Chili",1997,477,133,20,0,30
"Davis","Russ",1997,420,114,29,1,20
"Delgado","Carlos",1997,519,136,42,3,30
"DeShields","Delino",1997,572,169,26,14,11
"DiSarcina","Gary",1997,549,135,28,2,4
"Dunston","Shawon",1997,419,119,18,4,9
"Durham","Ray",1997,634,172,27,5,11
"Easley","Damion",1997,527,139,37,3,22
"Edmonds","Jim",1997,502,146,27,0,26
"Erstad","Darin",1997,539,161,34,4,16
"Everett","Carl",1997,443,110,28,3,14
"Fernandez","Tony",1997,409,117,21,1,11
"Finley","Steve",1997,560,146,26,5,28
"Flaherty","John",1997,439,120,21,1,9
"Frye","Jeff",1997,404,126,36,2,3
"Fryman","Travis",1997,595,163,27,3,22
"Gaetti","Gary",1997,502,126,24,1,17
"Gagne","Greg",1997,514,129,20,3,9
"Galarraga","Andres",1997,600,191,31,3,41
"Gant","Ron",1997,502,115,21,4,17
"Garciaparra","Nomar",1997,684,209,44,11,30
"Giambi","Jason",1997,519,152,41,2,20
"Gilkey","Bernard",1997,518,129,31,1,18
