"LastName","FirstName","Position","SLG","AVG"
"AURILIA","RICH","Shortstop",0.406,0.266
"RENTERIA","EDGAR","Shortstop",0.342,0.282
"CARUSO","MIKE","Shortstop",0.39,0.305
"CRUZ","DEIVI","Shortstop",0.354,0.259
"GUTIERREZ","RICKY","Shortstop",0.334,0.26
"RELAFORD","DESI","Shortstop",0.338,0.244
"GARCIAPARRA","NOMAR","Shortstop",0.584,0.322
"LARKIN","BARRY","Shortstop",0.503,0.308
"GOMEZ","CHRIS","Shortstop",0.378,0.267
"MEARES","PAT","Shortstop",0.368,0.259
"JETER","DEREK","Shortstop",0.48,0.324
"VIZQUEL","OMAR","Shortstop",0.371,0.288
"BORDICK","MIKE","Shortstop",0.41,0.26
"VALENTIN","JOSE","Shortstop",0.392,0.224
"ORDONEZ","REY","Shortstop",0.299,0.245
"BELL","JAY","Shortstop",0.431,0.251
"DiSARCINA","GARY","Shortstop",0.384,0.286
"GONZALEZ","ALEX","Shortstop",0.36,0.239
"RODRIGUEZ","ALEX","Shortstop",0.559,0.31
"PEREZ","NEIFI","Shortstop",0.381,0.273
"WILLIAMS","MATT","Third Base",0.439,0.266
"BOGGS","WADE","Third Base",0.4,0.28
"BLOWERS","MIKE","Third Base",0.386,0.237
"CAMINITI","KEN","Third Base",0.508,0.252
"COOMER","RON","Third Base",0.406,0.275
"RANDA","JOE","Third Base",0.367,0.254
"DAVIS","RUSS","Third Base",0.442,0.258
"ALFONZO","EDGARDO","Third Base",0.427,0.278
"MUELLER","BILL","Third Base",0.395,0.294
"FRYMAN","TRAVIS","Third Base",0.504,0.287
"HERNANDEZ","JOSE","Third Base",0.471,0.254
"BROSIUS","SCOTT","Third Base",0.471,0.3
"PALMER","DEAN","Third Base",0.51,0.277
"VALENTIN","JOHN","Third Base",0.442,0.246
"CIRILLO","JEFF","Third Base",0.445,0.321
"JONES","CHIPPER","Third Base",0.547,0.312
"ROLEN","SCOTT","Third Base",0.532,0.289
"VENTURA","ROBIN","Third Base",0.435,0.262
"RIPKEN","CAL","Third Base",0.389,0.271
"CASTILLA","VINNY","Third Base",0.589,0.319
