"teamID","SOR","BOR","ERA","PCT","HG","HRG","RG"
"ARI",7.89,2.9,4.26,0.395,9.06,0.73,4.58
"ATL",8.03,2.91,3.38,0.488,8.45,0.76,3.69
"CHN",8.09,3.11,3.91,0.451,8.63,0.97,4.36
"CIN",7.96,3.13,3.59,0.469,7.91,0.81,3.78
"COL",6.63,3.28,4.84,0.407,9.43,1.15,5.05
"LAN",8.48,2.65,3.4,0.58,8.26,0.83,3.81
"MIA",7.35,2.83,3.78,0.475,9.14,0.75,4.16
"MIL",7.69,2.66,3.67,0.506,8.56,0.93,4.06
"NYN",8.04,3.14,3.49,0.488,8.46,0.77,3.81
"PHI",7.75,3.22,3.79,0.451,8.62,0.77,4.24
"PIT",7.58,3.08,3.47,0.543,8.28,0.96,3.9
"SDN",7.93,2.85,3.27,0.475,8.02,0.67,3.56
"SFN",7.48,2.4,3.5,0.543,8.06,0.81,3.79
"SLN",7.54,2.9,3.5,0.556,8.15,0.65,3.72
"WAS",7.95,2.17,3.03,0.593,8.34,0.94,3.43
