Runners,Runs,Count
0,0,5481
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7+,0
1,0,5441
1,1,539
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7+,0
2,0,2408
2,1,896
2,2,244
2,3,0
2,4,0
2,5,0
2,6,0
2,7+,0
3,0,463
3,1,778
3,2,434
3,3,108
3,4,0
3,5,0
3,6,0
3,7+,0
4,0,13
4,1,215
4,2,369
4,3,176
4,4,52
4,5,0
4,6,0
4,7+,0
5,0,0
5,1,3
5,2,81
5,3,159
5,4,71
5,5,19
5,6,0
5,7+,0
6,0,0
6,1,0
6,2,1
6,3,35
6,4,66
6,5,35
6,6,11
6,7+,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,15
7,5,32
7,6,14
7,7+,2
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,6
8,6,11
8,7+,6
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,3
9,7+,4
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7+,6
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7+,3
