Name,AB_Home,H_Home,AVG_Home,AB_Away,H_Away,AVG_Away
David Ortiz,272,83,0.305,246,77,0.313
Daniel Murphy,320,84,0.263,338,104,0.308
Evan Longoria,291,75,0.258,323,90,0.279
Khris Davis,72,22,0.306,64,16,0.25
Christian Yelich,121,31,0.256,119,38,0.319
Marlon Byrd,261,67,0.257,271,88,0.325
Xander Bogaerts,22,5,0.227,22,6,0.273
Marcell Ozuna,127,32,0.252,148,41,0.277
Todd Frazier,264,70,0.265,267,54,0.202
Matt Carpenter,311,112,0.36,315,87,0.276
Andrelton Simmons,286,72,0.252,320,78,0.244
Zack Cozart,289,68,0.235,278,76,0.273
Martin Prado,292,85,0.291,317,87,0.274
Jacoby Ellsbury,284,84,0.296,293,88,0.3
