Name,AB_Pre,H_Pre,AVG_Pre,AB_Post,H_Post,AVG_Post
David Ortiz,296,74,0.25,222,62,0.279
Daniel Murphy,340,103,0.303,256,69,0.27
Jose Abreu,272,76,0.279,284,100,0.352
Evan Longoria,332,87,0.262,292,71,0.243
Khris Davis,290,75,0.259,211,47,0.223
Christian Yelich,255,66,0.259,327,99,0.303
Marlon Byrd,310,83,0.268,281,73,0.26
Xander Bogaerts,290,72,0.248,248,57,0.23
Marcell Ozuna,291,77,0.265,274,75,0.274
Todd Frazier,310,89,0.287,287,74,0.258
Matt Carpenter,317,89,0.281,278,73,0.263
Andrelton Simmons,291,72,0.247,249,60,0.241
Zack Cozart,276,63,0.228,230,49,0.213
Martin Prado,314,84,0.268,222,67,0.302
Jacoby Ellsbury,302,87,0.288,273,69,0.253
