Season,Team,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,,,
2002,Mariners,2.59,0.236,0.551,0.213,0.089,0.065,0.129,0.563,0.307,0.298,0.395,0.196,0.611,0.193,,,
2003,Mariners,1.85,0.22,0.507,0.274,0.13,0.08,0.113,0.409,0.383,0.27,0.347,0.176,0.601,0.223,,,
2004,Mariners,3.55,0.184,0.637,0.179,0.096,0.07,0.141,0.4,0.337,0.313,0.35,0.161,0.639,0.2,,,
2005,Mariners,2.2,0.221,0.536,0.243,0.06,0.101,0.095,0.667,0.375,0.28,0.345,0.171,0.593,0.237,,,
2006,Mariners,1.83,0.215,0.507,0.278,0.133,0.052,0.13,0.25,0.331,0.351,0.318,0.161,0.613,0.225,,,
2007,Mariners,2.39,0.201,0.563,0.236,0.079,0.043,0.132,0.5,0.293,0.379,0.328,0.201,0.506,0.293,,,
2008,Mariners,2.54,0.199,0.575,0.226,0.144,0.043,0.113,0.615,0.341,0.344,0.314,0.207,0.587,0.206,,,
2009,Mariners,2.12,0.182,0.556,0.262,0.088,0.075,0.16,0.6,0.319,0.333,0.349,0.198,0.615,0.187,,,
2010,Mariners,2.26,0.173,0.574,0.253,0.061,0.041,0.158,0.5,0.229,0.405,0.366,0.232,0.545,0.222,,,
2011,Mariners,2.84,0.191,0.599,0.211,0.142,0.039,0.1,0.4,0.299,0.392,0.31,0.323,0.558,0.119,,,
2012,2 Teams,2.09,0.247,0.509,0.244,0.138,0.065,0.101,0.167,0.296,0.396,0.308,0.182,0.64,0.178,,,
2013,Yankees,1.96,0.209,0.523,0.267,0.175,0.058,0.136,0.438,0.299,0.426,0.275,0.245,0.578,0.176,,,
2014,Yankees,2.95,0.224,0.579,0.197,0.123,0.018,0.149,0.4,0.244,0.437,0.319,0.298,0.512,0.19,,,
2015,Marlins,4.19,0.182,0.66,0.158,0.063,0.031,0.075,0.5,0.227,0.382,0.391,0.29,0.628,0.082,,,
