Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS
1995,21,15,51,48,5,12,4,1,0,7,3,11,.250,.294,.375,.669
1996,22,157,654,582,104,183,25,6,10,78,48,102,.314,.370,.430,.800
1997,23,159,748,654,116,190,31,7,10,70,74,125,.291,.370,.405,.775
1998,24,149,694,626,127,203,25,8,19,84,57,119,.324,.384,.481,.864
1999,25,158,739,627,134,219,37,9,24,102,91,116,.349,.438,.552,.989
2000,26,148,679,593,119,201,31,4,15,73,68,99,.339,.416,.481,.896
2001,27,150,686,614,110,191,35,3,21,74,56,99,.311,.377,.480,.858
2002,28,157,730,644,124,191,26,0,18,75,73,114,.297,.373,.421,.794
2003,29,119,542,482,87,156,25,3,10,52,43,88,.324,.393,.450,.844
2004,30,154,721,643,111,188,44,1,23,78,46,99,.292,.352,.471,.823
2005,31,159,752,654,122,202,25,5,19,70,77,117,.309,.389,.450,.839
2006,32,154,715,623,118,214,39,3,14,97,69,102,.343,.417,.483,.900
2007,33,156,714,639,102,206,39,4,12,73,56,100,.322,.388,.452,.840
2008,34,150,668,596,88,179,25,3,11,69,52,85,.300,.363,.408,.771
2009,35,153,716,634,107,212,27,1,18,66,72,90,.334,.406,.465,.871
2010,36,157,739,663,111,179,30,3,10,67,63,106,.270,.340,.370,.710
2011,37,131,607,546,84,162,24,4,6,61,46,81,.297,.355,.388,.743
2012,38,159,740,683,99,216,32,0,15,58,45,90,.316,.362,.429,.791
2013,39,17,73,63,8,12,1,0,1,7,8,10,.190,.288,.254,.542
2014,40,145,634,581,47,149,19,1,4,50,35,87,.256,.304,.313,.617
