Season,Team,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard
2002,Cardinals,1.22,0.219,0.429,0.351,0.147,0.185,0.067,0,0.474,0.265,0.261,0.126,0.601,0.273
2003,Cardinals,1.15,0.225,0.414,0.361,0.152,0.225,0.078,0.5,0.508,0.258,0.234,0.142,0.526,0.332
2004,Cardinals,1,0.17,0.416,0.414,0.141,0.203,0.092,1,0.49,0.277,0.233,0.097,0.552,0.352
2005,Cardinals,1.09,0.2,0.418,0.382,0.163,0.203,0.05,0,0.469,0.285,0.246,0.127,0.484,0.389
2006,Cardinals,0.83,0.18,0.373,0.447,0.147,0.225,0.049,0,0.453,0.34,0.207,0.078,0.58,0.342
2007,Cardinals,1.07,0.186,0.421,0.392,0.074,0.158,0.041,0,0.404,0.373,0.223,0.136,0.464,0.4
2008,Cardinals,1.07,0.224,0.402,0.374,0.117,0.207,0.063,0,0.475,0.318,0.207,0.155,0.416,0.429
2009,Cardinals,0.85,0.156,0.387,0.457,0.12,0.201,0.04,0,0.496,0.342,0.162,0.137,0.457,0.406
2010,Cardinals,0.86,0.172,0.383,0.445,0.135,0.183,0.061,0,0.507,0.348,0.145,0.161,0.416,0.424
2011,Cardinals,1.17,0.17,0.447,0.383,0.104,0.183,0.051,0,0.422,0.4,0.178,0.206,0.489,0.305
2012,Angels,1.04,0.188,0.413,0.399,0.121,0.14,0.045,0,0.52,0.317,0.164,0.142,0.523,0.335
2013,Angels,0.91,0.198,0.382,0.42,0.111,0.118,0.031,0,0.431,0.42,0.149,0.12,0.519,0.362
2014,Angels,1.29,0.189,0.457,0.354,0.129,0.139,0.054,0,0.51,0.298,0.193,0.145,0.494,0.361
2015,Angels,0.92,0.181,0.392,0.427,0.118,0.208,0.038,0,0.46,0.347,0.193,0.151,0.51,0.338
