Team,BABIP,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,IFH,BUH,BUH,Pull,Cent,Oppo,Soft,Med,Hard
Orioles,0.296,1.17,0.198,0.432,0.371,0.11,0.132,124,0.067,20,0.29,0.43,0.334,0.236,0.18,0.514,0.307
Rockies,0.326,1.39,0.213,0.458,0.329,0.092,0.13,140,0.07,25,0.25,0.377,0.359,0.264,0.179,0.514,0.307
Blue Jays,0.295,1.25,0.199,0.445,0.356,0.128,0.113,129,0.066,28,0.341,0.423,0.321,0.256,0.183,0.526,0.291
White Sox,0.306,1.4,0.208,0.462,0.33,0.109,0.112,151,0.078,17,0.34,0.405,0.328,0.267,0.198,0.521,0.282
Astros,0.298,1.19,0.203,0.432,0.365,0.102,0.111,113,0.065,16,0.327,0.405,0.351,0.244,0.191,0.529,0.28
Nationals,0.303,1.33,0.206,0.453,0.341,0.084,0.106,114,0.06,34,0.258,0.4,0.338,0.262,0.178,0.507,0.314
Cubs,0.296,1.15,0.203,0.425,0.371,0.098,0.106,103,0.06,23,0.19,0.413,0.343,0.244,0.19,0.524,0.286
Pirates,0.307,1.28,0.211,0.443,0.346,0.096,0.105,146,0.077,18,0.17,0.411,0.342,0.247,0.192,0.515,0.293
Angels,0.305,1.34,0.205,0.454,0.34,0.105,0.103,139,0.069,23,0.365,0.42,0.329,0.252,0.175,0.515,0.31
Brewers,0.293,1.28,0.203,0.447,0.35,0.097,0.101,134,0.071,32,0.242,0.384,0.339,0.278,0.187,0.502,0.311
Dodgers,0.318,1.54,0.211,0.478,0.311,0.071,0.101,138,0.067,30,0.259,0.367,0.348,0.285,0.178,0.528,0.295
Marlins,0.316,1.59,0.202,0.491,0.308,0.086,0.097,124,0.062,29,0.236,0.352,0.366,0.283,0.167,0.515,0.318
Tigers,0.319,1.18,0.222,0.422,0.356,0.08,0.096,120,0.063,16,0.308,0.421,0.334,0.245,0.162,0.52,0.318
Yankees,0.282,1.25,0.212,0.438,0.35,0.1,0.096,120,0.063,17,0.27,0.419,0.344,0.238,0.176,0.545,0.279
Mariners,0.29,1.3,0.208,0.447,0.345,0.091,0.094,133,0.071,22,0.25,0.397,0.341,0.262,0.181,0.529,0.29
Indians,0.296,1.22,0.221,0.429,0.351,0.088,0.092,108,0.057,31,0.32,0.428,0.325,0.247,0.175,0.546,0.28
Reds,0.284,1.24,0.211,0.438,0.351,0.104,0.091,116,0.065,29,0.188,0.397,0.34,0.263,0.194,0.537,0.269
Braves,0.298,1.37,0.208,0.458,0.334,0.075,0.09,113,0.061,17,0.167,0.389,0.349,0.262,0.183,0.521,0.297
Padres,0.277,1.55,0.204,0.484,0.312,0.091,0.088,102,0.053,20,0.175,0.395,0.348,0.257,0.191,0.534,0.275
Phillies,0.292,1.37,0.212,0.456,0.332,0.095,0.087,104,0.053,17,0.183,0.42,0.333,0.247,0.193,0.548,0.259
Giants,0.304,1.24,0.205,0.44,0.356,0.094,0.086,102,0.054,15,0.205,0.386,0.357,0.257,0.19,0.533,0.277
Twins,0.309,1.25,0.211,0.438,0.351,0.099,0.086,141,0.076,22,0.338,0.418,0.328,0.255,0.183,0.53,0.287
Diamondbacks,0.293,1.49,0.21,0.473,0.318,0.089,0.085,129,0.062,16,0.168,0.366,0.365,0.269,0.177,0.538,0.285
Red Sox,0.297,1.25,0.211,0.438,0.351,0.097,0.082,116,0.062,8,0.205,0.421,0.342,0.237,0.169,0.511,0.32
Rangers,0.305,1.5,0.202,0.479,0.318,0.092,0.081,136,0.066,34,0.337,0.391,0.356,0.253,0.193,0.532,0.275
Mets,0.286,1.14,0.214,0.42,0.367,0.091,0.081,107,0.061,22,0.216,0.404,0.336,0.26,0.181,0.521,0.299
Athletics,0.278,0.95,0.201,0.388,0.411,0.106,0.08,125,0.073,26,0.413,0.417,0.342,0.241,0.182,0.55,0.268
Rays,0.287,1.3,0.197,0.453,0.35,0.096,0.076,133,0.067,24,0.245,0.423,0.337,0.241,0.178,0.545,0.277
Cardinals,0.3,1.44,0.213,0.465,0.322,0.087,0.076,110,0.055,18,0.167,0.364,0.361,0.275,0.183,0.512,0.304
Royals,0.302,1.46,0.208,0.47,0.323,0.112,0.065,141,0.066,27,0.325,0.415,0.327,0.258,0.195,0.531,0.274
