Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB,GB,HR/FB,ERA,FIP,xFIP,WAR
Nationals,96,66,45,620,162,1470.2,7.88,2.15,0.67,0.294,0.749,0.448,0.075,3.03,3.18,3.43,23.6
Indians,85,77,39,735,162,1468.1,8.89,2.84,0.83,0.309,0.732,0.467,0.1,3.57,3.42,3.36,19.7
Yankees,84,78,48,637,162,1453,8.49,2.47,1.02,0.298,0.733,0.437,0.113,3.75,3.67,3.43,19.7
Cubs,73,89,37,699,162,1463.1,8.06,3.1,0.71,0.304,0.696,0.44,0.08,3.92,3.51,3.7,19.5
Dodgers,94,68,47,658,162,1464.2,8.44,2.64,0.87,0.292,0.74,0.478,0.108,3.4,3.48,3.33,18.1
Braves,79,83,54,634,162,1455,8.05,2.92,0.75,0.3,0.75,0.427,0.083,3.38,3.47,3.63,17.9
Rays,77,85,37,656,162,1463.2,8.84,2.96,0.89,0.286,0.741,0.408,0.091,3.56,3.56,3.62,17.8
Angels,98,64,46,705,162,1482.2,8.15,3.06,0.76,0.285,0.733,0.417,0.08,3.58,3.57,3.78,17.6
Tigers,90,72,41,635,162,1454,7.7,2.86,0.79,0.312,0.707,0.442,0.083,4.01,3.6,3.76,16.9
Padres,77,85,41,643,162,1438.2,8.03,2.89,0.73,0.289,0.749,0.452,0.086,3.27,3.46,3.57,16
Royals,89,73,53,613,162,1450.2,7.25,2.73,0.79,0.292,0.739,0.431,0.082,3.51,3.69,3.88,15.9
Athletics,88,74,31,603,162,1463.1,7.65,2.5,0.9,0.272,0.759,0.456,0.1,3.22,3.67,3.6,15.7
Mariners,87,75,51,658,162,1452,8.16,2.87,0.85,0.275,0.768,0.454,0.099,3.17,3.61,3.57,15.2
Phillies,73,89,40,623,162,1468.1,7.69,3.19,0.82,0.295,0.722,0.464,0.094,3.81,3.81,3.83,15.2
Cardinals,90,72,55,647,162,1448.2,7.59,2.92,0.76,0.286,0.744,0.454,0.086,3.5,3.65,3.77,15.2
Marlins,77,85,42,649,162,1457.2,7.35,2.83,0.7,0.31,0.719,0.469,0.08,3.79,3.56,3.75,13.3
Orioles,96,66,53,641,162,1461.1,7.23,2.91,0.93,0.28,0.77,0.438,0.098,3.44,3.96,3.92,13.2
Mets,79,83,42,651,162,1463.2,8.01,3.13,0.87,0.295,0.757,0.458,0.099,3.49,3.75,3.7,12.6
Reds,76,86,44,590,162,1446,8.03,3.16,1.01,0.277,0.765,0.451,0.116,3.59,4.01,3.75,12.5
Brewers,82,80,45,640,162,1457.2,7.69,2.66,1.03,0.289,0.74,0.456,0.113,3.67,3.89,3.65,12.2
Giants,88,74,46,637,162,1449,7.52,2.42,0.83,0.282,0.727,0.459,0.094,3.5,3.58,3.59,12.1
Red Sox,71,91,36,655,162,1465.2,7.45,2.96,0.95,0.301,0.718,0.436,0.099,4.01,3.93,3.87,11.7
Astros,70,92,31,600,162,1438.2,7.11,3.03,0.87,0.299,0.703,0.464,0.096,4.14,3.93,3.91,11.6
Blue Jays,83,79,45,611,162,1443,7.48,3.06,0.94,0.294,0.727,0.429,0.094,4,3.97,3.99,11.6
Diamondbacks,64,98,35,650,162,1444.1,7.96,2.92,0.96,0.312,0.703,0.461,0.111,4.26,3.83,3.63,11.3
White Sox,73,89,36,615,162,1441,7.2,3.48,0.87,0.306,0.704,0.461,0.094,4.3,4.1,4.11,10.4
Pirates,88,74,48,614,162,1456.1,7.59,3.08,0.79,0.29,0.742,0.505,0.103,3.49,3.8,3.71,10.3
Twins,70,92,38,653,162,1435,6.47,2.56,0.92,0.315,0.689,0.418,0.086,4.58,3.97,4.12,9.7
Rangers,67,95,33,638,162,1426.1,7,3.19,1.01,0.31,0.704,0.395,0.093,4.49,4.22,4.26,8.4
Rockies,66,96,24,709,162,1431,6.75,3.34,1.09,0.307,0.692,0.477,0.127,4.86,4.43,4.04,5.1
