STATE,NEW.STATE,N
000 0,000 0,1149
000 0,000 1,31059
000 0,001 0,236
000 0,010 0,2205
000 0,100 0,10663
000 1,000 1,691
000 1,000 2,22717
000 1,001 1,177
000 1,010 1,1582
000 1,100 1,7689
000 2,000 2,563
000 2,000 3,18084
000 2,001 2,119
000 2,010 2,1151
000 2,100 2,6170
001 0,000 0,9
001 0,000 1,118
001 0,000 2,4
001 0,001 1,190
001 0,010 0,20
001 0,010 1,4
001 0,100 0,82
001 0,100 1,2
001 0,101 0,56
001 1,000 1,37
001 1,000 2,373
001 1,000 3,15
001 1,001 1,13
001 1,001 2,645
001 1,010 1,92
001 1,010 2,7
001 1,100 1,322
001 1,100 2,44
001 1,101 1,287
001 2,000 2,54
001 2,000 3,4
001 2,001 2,11
001 2,001 3,1851
001 2,010 2,138
001 2,100 2,385
001 2,101 2,432
010 0,000 0,69
010 0,000 1,7
010 0,000 2,19
010 0,001 0,19
010 0,001 1,853
010 0,010 0,139
010 0,010 1,1191
010 0,011 0,21
010 0,100 0,171
010 0,100 1,42
010 0,101 0,303
010 0,110 0,341
010 1,000 1,135
010 1,000 2,24
010 1,000 3,49
010 1,001 1,24
010 1,001 2,1040
010 1,010 1,284
010 1,010 2,2344
010 1,011 1,10
010 1,100 1,313
010 1,100 2,68
010 1,101 1,357
010 1,110 1,748
010 2,000 2,114
010 2,000 3,29
010 2,001 2,36
010 2,001 3,3
010 2,010 2,355
010 2,010 3,4421
010 2,011 2,3
010 2,100 2,585
010 2,100 3,44
010 2,101 2,216
010 2,110 2,1072
011 0,000 0,6
011 0,000 1,1
011 0,001 0,4
011 0,001 1,97
011 0,001 2,1
011 0,010 0,28
011 0,010 1,63
011 0,010 2,3
011 0,011 0,5
011 0,011 1,229
011 0,100 0,33
011 0,100 1,4
011 0,101 0,62
011 0,101 1,7
011 0,110 0,5
011 0,110 1,3
011 0,111 0,89
011 1,000 1,23
011 1,000 2,2
011 1,000 3,3
011 1,001 1,6
011 1,001 2,229
011 1,001 3,7
011 1,010 1,79
011 1,010 2,136
011 1,010 3,12
011 1,011 1,4
011 1,011 2,415
011 1,100 1,112
011 1,100 2,8
011 1,100 3,2
011 1,101 1,127
011 1,101 2,35
